SaveTime,MaxVx,MaxVy,AxNormal,AxBrake,AxJumping,AerialInertia,JumpVelocity,GravityRising,GravityFalling,VerticalSpeedSustainLevel
10.00318,1,5.403363,0.8538536,0.2406075,0.2799011,True,289.6554,1.534689,1.547927,1
10.0036,1,5.403363,0.8538536,2,0.2799011,True,289.6554,1.534689,1.547927,1
10.0006,1,5.403363,0.8538536,2,0.2799011,True,289.6554,1.534689,1.547927,1
10.00127,1,5.403363,0.8538536,2,0.2799011,True,289.6554,1.534689,1.547927,1
10.00318,1,5.403363,0.8538536,2,0.2799011,True,289.6554,1.534689,1.547927,1
10.00096,1,5.403363,0.8538536,2,0.2799011,True,289.6554,1.534689,1.547927,1
10.00668,1,5.403363,0.8538536,2,0.2799011,True,289.6554,1.534689,1.547927,1
10.00197,1,5.403363,0.8538536,2,0.2799011,True,289.6554,1.534689,1.547927,1
10.00568,1,5.403363,0.8538536,2,0.2799011,True,289.6554,1.534689,1.547927,1
10.00421,1,5.403363,0.8538536,2,2,True,289.6554,1.534689,1.547927,1
10.00205,1,5.403363,0.8538536,2,2,True,289.6554,1.534689,1.547927,1
10.00007,1,5.403363,0.8538536,2,0,True,289.6554,1.534689,1.547927,1
10.00402,1,5.403363,0.8538536,2,0,False,289.6554,1.534689,1.547927,1
10.00421,1,5.403363,0.8538536,2,2,False,289.6554,1.534689,1.547927,1
10.00269,1,5.403363,0.8538536,2,2,True,289.6554,1.534689,1.547927,1
10.00091,1,5.403363,0.8538536,2,0.4399826,True,289.6554,1.534689,1.547927,1
10.00713,1,5.403363,0.8538536,2,0.4399826,True,289.6554,1.534689,1.547927,1
10.00159,1,5.403363,0.8538536,2,0.4399826,True,289.6554,1.534689,1.547927,1
10.00154,1,5.403363,0.8538536,2,0.4399826,True,236.2589,1.534689,1.547927,1
10.00209,1,5.403363,0.8538536,2,0.4399826,True,305.0153,1.534689,1.547927,1
10.00851,1,5.403363,0.8538536,2,0.4399826,True,305.0153,1.534689,1.547927,1
10.00061,1,5.403363,0.8538536,2,0.4399826,True,244.3478,1.534689,1.547927,1
10.00194,1,5.403363,0.8538536,2,0.4399826,True,244.3478,1.361354,1.547927,1
10.00331,1,5.403363,0.8538536,2,0.4399826,True,244.3478,1.361354,1.547927,1
10.00603,1,5.403363,0.8538536,2,0.4399826,True,244.3478,1.361354,1.547927,0
10.00126,1,5.403363,0.8538536,2,0.4399826,True,244.3478,1.361354,1.547927,0.7280082
10.00743,1,5.403363,0.8538536,2,0.4399826,True,244.3478,1.361354,1.547927,0.7049327
10.00708,1,5.403363,0.8538536,2,0.4399826,True,341.4156,1.361354,1.547927,0.7049327
